age,visit_count,time_stay,clicked
23,47,3.9,46
24,40,3.3,45
17,30,4.1,30
15,44,2.1,38
23,48,6.6,39
23,47,3.7,40
26,36,3.7,31
24,45,4.3,46
24,31,5.1,33
26,36,4.3,31
28,44,4.2,49
26,36,0.7,34
26,48,3.5,37
22,45,2.3,45
20,42,0.5,31
24,47,6.2,40
28,47,1.1,39
23,33,3.3,41
18,46,4.8,36
14,48,4.5,39
14,48,2.2,38
26,45,7,36
27,37,5.3,30
17,49,2.3,40
21,35,0.8,34
29,33,3,42
24,41,3.2,44
26,42,5.2,45
17,38,6.8,41
22,48,2.3,33
22,40,3,49
24,36,0.7,40
19,43,4.3,49
26,43,1.2,30
23,49,5.2,33
23,39,2.2,42
19,37,5.9,43
24,47,5.4,37
18,30,6.6,34
20,39,4.7,31
23,46,4.3,39
29,49,6.1,40
27,44,0.2,32
29,35,6.5,38
19,37,4.9,30
23,36,2.1,38
29,35,3.4,36
27,45,3.4,48
27,35,4.8,39
21,47,5.1,45
25,47,7,42
18,46,3.2,36
27,39,0.7,34
15,40,1.5,37
21,34,4.8,44
26,43,3.4,48
27,49,2.3,40
18,30,6.5,48
24,48,6,40
21,35,4.6,43
15,41,3.8,44
15,38,4.7,39
18,42,3.9,35
21,40,1.1,45
24,44,0.9,39
28,40,6.5,33
23,31,1.7,42
16,49,1.8,40
16,33,1.4,42
27,36,5.3,40
26,45,5.4,36
20,32,0.8,49
16,45,4.4,48
24,39,1,35
22,31,3.9,40
21,41,3.3,36
15,39,3.7,32
28,39,2.6,49
17,32,5.5,31
25,35,4.4,37
23,39,4.6,38
25,44,4.4,34
26,47,2.5,32
25,49,2.1,34
25,43,5.3,39
22,34,2.1,39
17,46,4.9,38
16,42,0.1,36
14,38,3.9,44
19,49,1,49
28,46,5.9,42
27,42,4.3,34
15,48,0.3,42
26,47,2.6,40
22,32,5.6,44
25,49,6.1,30
24,30,2.4,45
25,48,6.2,37
14,32,0.6,48
19,47,2.7,49
24,44,2.1,44
14,33,4.1,49
24,34,6.8,45
29,32,3.9,36
19,45,3.6,44
28,33,0.3,43
18,34,3.2,44
21,44,5.3,46
26,33,2.4,47
27,32,2.4,39
21,48,0.3,33
19,47,5.2,47
20,41,5.7,46
27,44,1.8,30
18,34,4.5,32
24,39,6.7,31
26,36,6.3,44
17,37,1.5,34
16,36,5.7,37
27,36,1.6,34
26,39,3.6,45
28,49,3.8,48
28,39,2.8,43
29,37,2.3,31
25,42,4.8,35
23,45,2.4,43
19,34,6.8,44
20,33,3.8,35
14,37,3.9,45
16,41,6.3,34
19,44,0.3,30
20,33,0.3,46
29,48,2.4,38
15,49,6.5,49
20,46,0.5,34
22,49,2.1,39
14,41,5.8,30
25,38,4.5,44
16,40,2.6,40
18,49,1.7,48
15,42,2.2,43
19,38,2.4,49
19,39,5.9,32
20,39,6.1,42
26,47,4.5,35
17,48,4.7,48
22,48,3,36
29,49,3.5,49
22,36,4.9,39
21,31,0.4,45
24,39,3.8,36
15,36,0.2,32
21,32,3.8,43
28,46,5.5,48
28,49,1.6,45
29,38,5.8,38
21,44,3.9,45
26,42,2.7,45
26,36,0.3,49
22,30,5.8,44
27,36,3.2,40
17,38,6.5,43
21,45,6.1,31
28,42,6.4,37
22,36,1.6,36
18,35,6.8,31
17,30,2.6,31
20,32,6.6,42
19,39,1.4,33
16,36,4.6,37
23,40,5.4,46
27,48,5.4,30
20,41,4.1,42
17,48,2.9,33
27,39,2.7,48
16,49,0.6,45
20,34,3.6,35
19,35,3.8,41
22,44,0.6,48
14,42,4.8,49
19,34,2.2,36
19,31,4.6,35
25,32,1.1,30
28,30,2.8,32
16,36,3.7,42
17,31,6.7,47
19,33,4.5,47
29,41,5.1,44
21,36,2.5,43
23,37,5.2,38
15,49,2.7,49
24,48,5.8,30
15,48,3,42
21,44,3.9,48
14,37,2.3,30
15,37,3.1,46
24,37,4.2,38
27,49,6.6,41
15,40,0.3,37
15,44,4.2,48
18,32,1.4,38
21,37,0.5,43
14,49,2.7,35
27,34,5.4,34
22,38,6,41
23,34,0.5,30
29,41,5.3,48
28,45,0.4,43
22,31,2.5,47
21,49,1.1,48
26,45,1.7,37
18,41,0.5,35
17,33,0.1,41
27,30,6.8,46
23,31,5.6,32
15,45,1.6,48
17,41,0.2,35
16,45,0.2,34
27,48,6.8,35
14,45,0.6,47
25,37,1.9,30
